Website section,Exact claim or implied claim,Claim type,Technology/system involved,Chemicals/materials involved,Unit operations involved,Bottleneck involved,Readiness/manufacturing issue involved,Needed evidence type,Evidence status,Best available sources,Source quality rating,Confidence level,Notes on uncertainty,Suggested revised wording if too strong
Technology / simplified PFD,Wireless road charging is represented with the simplified PFD sequence: Grid power → Roadside coils → Vehicle receiver → Battery charging → Billing/control.,process-flow assumption,Wireless road charging,Lithium; Electrolytes; Graphite; Copper; Electrodes; Electrolytes,Membrane separation; Filtration; Wastewater treatment,energy penalty; infrastructure gap; cost curve problem; data/control problem,Demonstrations work; deployment depends on road construction economics.,Process-route sources showing actual major unit operations or system blocks,Supported as starter-sourced framing,"International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | National Academies of Sciences, Engineering, and Medicine. 2020. Deployment of Deep Decarbonization Technologies. (https://www.nationalacademies.org/read/25656/chapter/6) | U.S. Department of Energy. 2023. Pathways to Commercial Liftoff: Long Duration Energy Storage. (https://www.energy.gov/sites/default/files/2023-09/Pathways%20to%20Commercial%20Liftoff%20Long%20Duration%20Energy%20Storage%20Opportunities_508.pdf) | U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | Dohlman, E., C. Weber, and Y. Lee. 2024. Trends, Insights, and Future Prospects for Production in Controlled Environment Agriculture and Agrivoltaics. USDA ERS. (https://ers.usda.gov/sites/default/files/_laserfiche/publications/108221/EIB-264.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,Wireless road charging readiness gap: Demonstrations work; deployment depends on road construction economics.,readiness/economics claim,Wireless road charging,Lithium; Electrolytes; Graphite; Copper; Electrodes; Electrolytes,Membrane separation; Filtration; Wastewater treatment,energy penalty; infrastructure gap; cost curve problem; data/control problem,Demonstrations work; deployment depends on road construction economics.,TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Supported as starter-sourced framing,"International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | National Academies of Sciences, Engineering, and Medicine. 2020. Deployment of Deep Decarbonization Technologies. (https://www.nationalacademies.org/read/25656/chapter/6) | U.S. Department of Energy. 2023. Pathways to Commercial Liftoff: Long Duration Energy Storage. (https://www.energy.gov/sites/default/files/2023-09/Pathways%20to%20Commercial%20Liftoff%20Long%20Duration%20Energy%20Storage%20Opportunities_508.pdf) | U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | Dohlman, E., C. Weber, and Y. Lee. 2024. Trends, Insights, and Future Prospects for Production in Controlled Environment Agriculture and Agrivoltaics. USDA ERS. (https://ers.usda.gov/sites/default/files/_laserfiche/publications/108221/EIB-264.pdf)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,"Wireless road charging scale trigger: Charging lanes must be shared, efficient, and compatible across vehicles.",readiness/economics claim + engineering inference,Wireless road charging,Lithium; Electrolytes; Graphite; Copper; Electrodes; Electrolytes,Membrane separation; Filtration; Wastewater treatment,energy penalty; infrastructure gap; cost curve problem; data/control problem,"Charging lanes must be shared, efficient, and compatible across vehicles.","Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Needs claim-level verification,"International Energy Agency. 2025. Global Critical Minerals Outlook 2025. (https://www.iea.org/reports/global-critical-minerals-outlook-2025) | U.S. Geological Survey. 2025. Mineral Commodity Summaries 2025. (https://pubs.usgs.gov/publication/mcs2025) | National Academies of Sciences, Engineering, and Medicine. 2020. Deployment of Deep Decarbonization Technologies. (https://www.nationalacademies.org/read/25656/chapter/6) | U.S. Department of Energy. 2023. Pathways to Commercial Liftoff: Long Duration Energy Storage. (https://www.energy.gov/sites/default/files/2023-09/Pathways%20to%20Commercial%20Liftoff%20Long%20Duration%20Energy%20Storage%20Opportunities_508.pdf) | U.S. Department of Energy Building Technologies Office. 2023. Better Windows, Better Outcomes: How Electrochromics Improve Health, Productivity, and Efficiency. (https://www.energy.gov/sites/default/files/2023-12/bto-electrochromic-window-report-121123.pdf) | Dohlman, E., C. Weber, and Y. Lee. 2024. Trends, Insights, and Future Prospects for Production in Controlled Environment Agriculture and Agrivoltaics. USDA ERS. (https://ers.usda.gov/sites/default/files/_laserfiche/publications/108221/EIB-264.pdf)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Autonomous factories: Robotics, machine vision, sensors, process control, digital twins, predictive maintenance, and human oversight.",process-flow assumption + engineering inference,Autonomous factories,Water; Catalysts; Catalysts,Coating; Drying,reliability gap; maintenance burden; data/control problem; quality-control challenge,"Automated lines exist, but fully autonomous mixed production is rare.","Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Supported as starter-sourced framing,"National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing) | Helu, M. M., et al. 2020. Connecting, Deploying, and Using the Smart Manufacturing Systems Test Bed. NIST. (https://www.nist.gov/publications/connecting-deploying-and-using-smart-manufacturing-systems-test-bed) | National Institute of Standards and Technology. 2024. Digital Twins for Advanced Manufacturing. (https://www.nist.gov/programs-projects/digital-twins-advanced-manufacturing) | White House / National Science and Technology Council. 2022. National Strategy for Advanced Manufacturing. (https://www.energy.gov/sites/default/files/2024-03/National-Strategy-for-Advanced-Manufacturing-10072022.pdf) | Ahrestani, Z., et al. 2023. An overview of atmospheric water harvesting methods. PMC / peer-reviewed review. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10073925/)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Verify numbers, economics, timelines, and performance separately. Keep Autonomous factories wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Autonomous factories is represented with the simplified PFD sequence: Raw material intake → Automated processing → Inspection → Packaging → Feedback control.,process-flow assumption,Autonomous factories,Water; Catalysts; Catalysts,Coating; Drying,reliability gap; maintenance burden; data/control problem; quality-control challenge,"Automated lines exist, but fully autonomous mixed production is rare.",Process-route sources showing actual major unit operations or system blocks,Supported as starter-sourced framing,"National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing) | Helu, M. M., et al. 2020. Connecting, Deploying, and Using the Smart Manufacturing Systems Test Bed. NIST. (https://www.nist.gov/publications/connecting-deploying-and-using-smart-manufacturing-systems-test-bed) | National Institute of Standards and Technology. 2024. Digital Twins for Advanced Manufacturing. (https://www.nist.gov/programs-projects/digital-twins-advanced-manufacturing) | White House / National Science and Technology Council. 2022. National Strategy for Advanced Manufacturing. (https://www.energy.gov/sites/default/files/2024-03/National-Strategy-for-Advanced-Manufacturing-10072022.pdf) | Ahrestani, Z., et al. 2023. An overview of atmospheric water harvesting methods. PMC / peer-reviewed review. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10073925/)",Tier 1 preferred; Tier 2 supplemental,Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,"Autonomous factories readiness gap: Automated lines exist, but fully autonomous mixed production is rare.",readiness/economics claim,Autonomous factories,Water; Catalysts; Catalysts,Coating; Drying,reliability gap; maintenance burden; data/control problem; quality-control challenge,"Automated lines exist, but fully autonomous mixed production is rare.",TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Supported as starter-sourced framing,"National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing) | Helu, M. M., et al. 2020. Connecting, Deploying, and Using the Smart Manufacturing Systems Test Bed. NIST. (https://www.nist.gov/publications/connecting-deploying-and-using-smart-manufacturing-systems-test-bed) | National Institute of Standards and Technology. 2024. Digital Twins for Advanced Manufacturing. (https://www.nist.gov/programs-projects/digital-twins-advanced-manufacturing) | White House / National Science and Technology Council. 2022. National Strategy for Advanced Manufacturing. (https://www.energy.gov/sites/default/files/2024-03/National-Strategy-for-Advanced-Manufacturing-10072022.pdf) | Ahrestani, Z., et al. 2023. An overview of atmospheric water harvesting methods. PMC / peer-reviewed review. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10073925/)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Autonomous factories scale trigger: Systems must recover from abnormal conditions without hiding risk.,readiness/economics claim + engineering inference,Autonomous factories,Water; Catalysts; Catalysts,Coating; Drying,reliability gap; maintenance burden; data/control problem; quality-control challenge,Systems must recover from abnormal conditions without hiding risk.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Needs claim-level verification,"National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing) | Helu, M. M., et al. 2020. Connecting, Deploying, and Using the Smart Manufacturing Systems Test Bed. NIST. (https://www.nist.gov/publications/connecting-deploying-and-using-smart-manufacturing-systems-test-bed) | National Institute of Standards and Technology. 2024. Digital Twins for Advanced Manufacturing. (https://www.nist.gov/programs-projects/digital-twins-advanced-manufacturing) | White House / National Science and Technology Council. 2022. National Strategy for Advanced Manufacturing. (https://www.energy.gov/sites/default/files/2024-03/National-Strategy-for-Advanced-Manufacturing-10072022.pdf) | Ahrestani, Z., et al. 2023. An overview of atmospheric water harvesting methods. PMC / peer-reviewed review. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10073925/)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Factory-in-a-box: Modular process skids, standard utilities, automation, QA modules, and containerized production.",process-flow assumption + engineering inference,Factory-in-a-box,Water; Catalysts; Catalysts,Coating; Drying,supply-chain constraint; quality-control challenge; scale-up uncertainty,Containerized systems work for narrow products; flexible manufacturing is harder.,"Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Supported as starter-sourced framing,"RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | Helu, M. M., et al. 2020. Connecting, Deploying, and Using the Smart Manufacturing Systems Test Bed. NIST. (https://www.nist.gov/publications/connecting-deploying-and-using-smart-manufacturing-systems-test-bed) | White House / National Science and Technology Council. 2022. National Strategy for Advanced Manufacturing. (https://www.energy.gov/sites/default/files/2024-03/National-Strategy-for-Advanced-Manufacturing-10072022.pdf) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing) | National Institute of Standards and Technology. 2024. Digital Twins for Advanced Manufacturing. (https://www.nist.gov/programs-projects/digital-twins-advanced-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Verify numbers, economics, timelines, and performance separately. Keep Factory-in-a-box wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Factory-in-a-box is represented with the simplified PFD sequence: Feedstock → Modular process unit → Inspection → Packaged product → Service loop.,process-flow assumption,Factory-in-a-box,Water; Catalysts; Catalysts,Coating; Drying,supply-chain constraint; quality-control challenge; scale-up uncertainty,Containerized systems work for narrow products; flexible manufacturing is harder.,Process-route sources showing actual major unit operations or system blocks,Supported as starter-sourced framing,"RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | Helu, M. M., et al. 2020. Connecting, Deploying, and Using the Smart Manufacturing Systems Test Bed. NIST. (https://www.nist.gov/publications/connecting-deploying-and-using-smart-manufacturing-systems-test-bed) | White House / National Science and Technology Council. 2022. National Strategy for Advanced Manufacturing. (https://www.energy.gov/sites/default/files/2024-03/National-Strategy-for-Advanced-Manufacturing-10072022.pdf) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing) | National Institute of Standards and Technology. 2024. Digital Twins for Advanced Manufacturing. (https://www.nist.gov/programs-projects/digital-twins-advanced-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,Factory-in-a-box readiness gap: Containerized systems work for narrow products; flexible manufacturing is harder.,readiness/economics claim,Factory-in-a-box,Water; Catalysts; Catalysts,Coating; Drying,supply-chain constraint; quality-control challenge; scale-up uncertainty,Containerized systems work for narrow products; flexible manufacturing is harder.,TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Supported as starter-sourced framing,"RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | Helu, M. M., et al. 2020. Connecting, Deploying, and Using the Smart Manufacturing Systems Test Bed. NIST. (https://www.nist.gov/publications/connecting-deploying-and-using-smart-manufacturing-systems-test-bed) | White House / National Science and Technology Council. 2022. National Strategy for Advanced Manufacturing. (https://www.energy.gov/sites/default/files/2024-03/National-Strategy-for-Advanced-Manufacturing-10072022.pdf) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing) | National Institute of Standards and Technology. 2024. Digital Twins for Advanced Manufacturing. (https://www.nist.gov/programs-projects/digital-twins-advanced-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Medium,"Source set supports the process framing, but individual claims require direct verification.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Factory-in-a-box scale trigger: Modules must maintain validated quality across deployment sites.,readiness/economics claim + engineering inference,Factory-in-a-box,Water; Catalysts; Catalysts,Coating; Drying,supply-chain constraint; quality-control challenge; scale-up uncertainty,Modules must maintain validated quality across deployment sites.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Needs claim-level verification,"RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | Helu, M. M., et al. 2020. Connecting, Deploying, and Using the Smart Manufacturing Systems Test Bed. NIST. (https://www.nist.gov/publications/connecting-deploying-and-using-smart-manufacturing-systems-test-bed) | White House / National Science and Technology Council. 2022. National Strategy for Advanced Manufacturing. (https://www.energy.gov/sites/default/files/2024-03/National-Strategy-for-Advanced-Manufacturing-10072022.pdf) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing) | National Institute of Standards and Technology. 2024. Digital Twins for Advanced Manufacturing. (https://www.nist.gov/programs-projects/digital-twins-advanced-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Self-replicating manufacturing systems: Modular robotics, standardized parts, additive manufacturing, supply-chain libraries, and automated assembly.",process-flow assumption + engineering inference,Self-replicating manufacturing systems,Water; Catalysts; Catalysts,Coating; Drying,supply-chain constraint; data/control problem; scale-up uncertainty,"Partial automation exists, but complete replication needs broad component supply.","Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Partially supported / needs cautious wording,"Freitas, R. A., and Gilbreath, W. P., eds. 1982. Advanced Automation for Space Missions. NASA Conference Publication 2255. (https://ntrs.nasa.gov/citations/19820045716) | Ellery, A. 2016. Are Self-Replicating Machines Feasible? (https://carleton.ca/ceser/wp-content/uploads/Are-self-replicating-machines-feasible.pdf) | Abdel-Rahman, A., et al. 2022. Self-replicating hierarchical modular robotic swarms. Communications Engineering. (https://www.nature.com/articles/s44172-022-00034-3) | RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Sources support adjacent mechanisms, components, or analogues, not the full system.","Frame as speculative analogue evidence. Keep Self-replicating manufacturing systems wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Self-replicating manufacturing systems is represented with the simplified PFD sequence: Raw materials → Part fabrication → Assembly → Calibration → Replication.,process-flow assumption,Self-replicating manufacturing systems,Water; Catalysts; Catalysts,Coating; Drying,supply-chain constraint; data/control problem; scale-up uncertainty,"Partial automation exists, but complete replication needs broad component supply.",Process-route sources showing actual major unit operations or system blocks,Partially supported / needs cautious wording,"Freitas, R. A., and Gilbreath, W. P., eds. 1982. Advanced Automation for Space Missions. NASA Conference Publication 2255. (https://ntrs.nasa.gov/citations/19820045716) | Ellery, A. 2016. Are Self-Replicating Machines Feasible? (https://carleton.ca/ceser/wp-content/uploads/Are-self-replicating-machines-feasible.pdf) | Abdel-Rahman, A., et al. 2022. Self-replicating hierarchical modular robotic swarms. Communications Engineering. (https://www.nature.com/articles/s44172-022-00034-3) | RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,"Self-replicating manufacturing systems readiness gap: Partial automation exists, but complete replication needs broad component supply.",readiness/economics claim,Self-replicating manufacturing systems,Water; Catalysts; Catalysts,Coating; Drying,supply-chain constraint; data/control problem; scale-up uncertainty,"Partial automation exists, but complete replication needs broad component supply.",TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Partially supported / needs cautious wording,"Freitas, R. A., and Gilbreath, W. P., eds. 1982. Advanced Automation for Space Missions. NASA Conference Publication 2255. (https://ntrs.nasa.gov/citations/19820045716) | Ellery, A. 2016. Are Self-Replicating Machines Feasible? (https://carleton.ca/ceser/wp-content/uploads/Are-self-replicating-machines-feasible.pdf) | Abdel-Rahman, A., et al. 2022. Self-replicating hierarchical modular robotic swarms. Communications Engineering. (https://www.nature.com/articles/s44172-022-00034-3) | RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Sources support adjacent mechanisms, components, or analogues, not the full system.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
Technology / scale trigger,Self-replicating manufacturing systems scale trigger: Machines must fabricate enough of their own precision components to matter.,readiness/economics claim + engineering inference,Self-replicating manufacturing systems,Water; Catalysts; Catalysts,Coating; Drying,supply-chain constraint; data/control problem; scale-up uncertainty,Machines must fabricate enough of their own precision components to matter.,"Techno-economic analysis, pilot data, manufacturing learning, reliability, regulatory/permitting evidence",Partially supported / needs cautious wording,"Freitas, R. A., and Gilbreath, W. P., eds. 1982. Advanced Automation for Space Missions. NASA Conference Publication 2255. (https://ntrs.nasa.gov/citations/19820045716) | Ellery, A. 2016. Are Self-Replicating Machines Feasible? (https://carleton.ca/ceser/wp-content/uploads/Are-self-replicating-machines-feasible.pdf) | Abdel-Rahman, A., et al. 2022. Self-replicating hierarchical modular robotic swarms. Communications Engineering. (https://www.nature.com/articles/s44172-022-00034-3) | RAPID Manufacturing Institute / AIChE. Rapid Advancement in Process Intensification Deployment. (https://rapid.aiche.org/) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Scale-trigger language is often inferential and should be verified with TEA, deployment data, or agency roadmap sources.",Phrase scale triggers as hypotheses unless a direct source supports the causal threshold.
Technology / realistic pathway,"Molecular assemblers: Scanning probe systems, DNA origami, molecular machines, self-assembly, and nanolithography.",process-flow assumption + engineering inference,Molecular assemblers,Water; Catalysts; Catalysts,Lithography; Coating; Drying,energy penalty; low yield; manufacturing repeatability; supply-chain constraint,"Precision exists in research tools, not high-throughput production.","Direct sources for process route, materials, bottlenecks, readiness, economics, and safety/regulatory issues",Partially supported / needs cautious wording,"Engwerda, A. H. J., et al. 2020. A molecular assembler that produces polymers. Nature Communications. (https://www.nature.com/articles/s41467-020-17814-0) | Pitters, J., et al. 2024. Atomically Precise Manufacturing of Silicon Electronics. ACS / PMC. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10919096/) | Umbrello, S. 2018. Evaluating future nanotechnology: The net societal impacts of atomically precise manufacturing. Futures. (https://www.sciencedirect.com/science/article/abs/pii/S0016328717301908) | Ellery, A. 2016. Are Self-Replicating Machines Feasible? (https://carleton.ca/ceser/wp-content/uploads/Are-self-replicating-machines-feasible.pdf) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Sources support adjacent mechanisms, components, or analogues, not the full system.","Frame as speculative analogue evidence. Keep Molecular assemblers wording qualified around economics, timelines, and performance unless claim-level evidence is added."
Technology / simplified PFD,Molecular assemblers is represented with the simplified PFD sequence: Molecular feedstocks → Directed assembly → Error correction → Product stabilization → Scale-out.,process-flow assumption,Molecular assemblers,Water; Catalysts; Catalysts,Lithography; Coating; Drying,energy penalty; low yield; manufacturing repeatability; supply-chain constraint,"Precision exists in research tools, not high-throughput production.",Process-route sources showing actual major unit operations or system blocks,Partially supported / needs cautious wording,"Engwerda, A. H. J., et al. 2020. A molecular assembler that produces polymers. Nature Communications. (https://www.nature.com/articles/s41467-020-17814-0) | Pitters, J., et al. 2024. Atomically Precise Manufacturing of Silicon Electronics. ACS / PMC. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10919096/) | Umbrello, S. 2018. Evaluating future nanotechnology: The net societal impacts of atomically precise manufacturing. Futures. (https://www.sciencedirect.com/science/article/abs/pii/S0016328717301908) | Ellery, A. 2016. Are Self-Replicating Machines Feasible? (https://carleton.ca/ceser/wp-content/uploads/Are-self-replicating-machines-feasible.pdf) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,Mini-PFDs are simplified; exact process routes can vary by architecture/vendor/design.,Treat the mini-PFD as a teaching abstraction unless a source directly supports the sequence.
Technology / readiness gap,"Molecular assemblers readiness gap: Precision exists in research tools, not high-throughput production.",readiness/economics claim,Molecular assemblers,Water; Catalysts; Catalysts,Lithography; Coating; Drying,energy penalty; low yield; manufacturing repeatability; supply-chain constraint,"Precision exists in research tools, not high-throughput production.",TRL/MRL/IRL plus domain-specific demonstration/commercialization sources,Partially supported / needs cautious wording,"Engwerda, A. H. J., et al. 2020. A molecular assembler that produces polymers. Nature Communications. (https://www.nature.com/articles/s41467-020-17814-0) | Pitters, J., et al. 2024. Atomically Precise Manufacturing of Silicon Electronics. ACS / PMC. (https://pmc.ncbi.nlm.nih.gov/articles/PMC10919096/) | Umbrello, S. 2018. Evaluating future nanotechnology: The net societal impacts of atomically precise manufacturing. Futures. (https://www.sciencedirect.com/science/article/abs/pii/S0016328717301908) | Ellery, A. 2016. Are Self-Replicating Machines Feasible? (https://carleton.ca/ceser/wp-content/uploads/Are-self-replicating-machines-feasible.pdf) | National Academies of Sciences, Engineering, and Medicine. 2024. Options for a National Plan for Smart Manufacturing. (https://www.nationalacademies.org/publications/27260) | National Institute of Standards and Technology. 2024. Smart Manufacturing. (https://www.nist.gov/smart-manufacturing)",Tier 1 preferred; Tier 2 supplemental,Low-Medium,"Sources support adjacent mechanisms, components, or analogues, not the full system.","Qualify readiness gaps with the specific maturity dimension: technical, manufacturing, integration, infrastructure, safety, or economics."
